tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-440,s-Hertogenbosch,Grass,32,A,20110612,1,103582,,,Michael Berrer,L,193.0,GER,30.9486652977,75.0,635.0,104597,1.0,,Nicolas Almagro,R,183.0,ESP,25.8097193703,15.0,1875.0,3-6 7-6(5) 6-4,3,R32,98.0,7.0,2.0,88.0,56.0,45.0,23.0,15.0,2.0,3.0,15.0,4.0,87.0,48.0,41.0,27.0,16.0,3.0,4.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,2,105053,,,Santiago Giraldo,R,188.0,COL,23.542778918500000,63.0,790.0,103188,,,Michael Russell,R,173.0,USA,33.117043121100000,91.0,573.0,7-6(4) 6-3,3,R32,91.0,0.0,1.0,67.0,44.0,33.0,14.0,11.0,1.0,2.0,5.0,1.0,70.0,45.0,31.0,11.0,10.0,2.0,4.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,3,104098,,,Dmitry Tursunov,R,185.0,RUS,28.501026694,70.0,684.0,103470,,,Robert Kendrick,R,190.0,USA,31.575633128000000,95.0,556.0,6-2 7-6(3),3,R32,70.0,6.0,3.0,57.0,35.0,30.0,11.0,10.0,0.0,1.0,7.0,3.0,59.0,34.0,21.0,14.0,10.0,3.0,6.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,4,103917,,,Nicolas Mahut,R,190.0,FRA,29.390828199900000,99.0,539.0,105173,6.0,,Adrian Mannarino,L,183.0,FRA,22.954140999300000,53.0,923.0,7-6(2) 6-3,3,R32,81.0,6.0,3.0,61.0,39.0,26.0,12.0,10.0,0.0,2.0,1.0,5.0,65.0,39.0,26.0,11.0,11.0,1.0,5.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,5,103598,3.0,,Xavier Malisse,R,185.0,BEL,30.8993839836,41.0,1035.0,104268,,Q,Alejandro Falla,L,185.0,COL,27.578370978800000,86.0,610.0,6-3 6-1,3,R32,56.0,3.0,0.0,42.0,28.0,19.0,9.0,8.0,0.0,1.0,0.0,2.0,47.0,25.0,13.0,8.0,8.0,6.0,11.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,6,104619,,WC,Jesse Huta Galung,R,188.0,NED,25.6837782341,116.0,474.0,104714,,,Julian Reister,R,188.0,GER,25.196440794,135.0,417.0,6-2 3-6 7-5,3,R32,126.0,4.0,4.0,90.0,48.0,35.0,23.0,14.0,5.0,7.0,4.0,2.0,97.0,68.0,47.0,12.0,15.0,3.0,7.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,7,103835,,,Filippo Volandri,R,183.0,ITA,29.7686516085,84.0,615.0,103672,,,Ricardo Mello,L,175.0,BRA,30.4750171116,90.0,574.0,6-4 7-6(5),3,R32,93.0,4.0,3.0,68.0,49.0,34.0,11.0,11.0,2.0,4.0,4.0,2.0,95.0,59.0,33.0,21.0,11.0,6.0,9.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,8,104166,,,Alex Bogomolov Jr,R,178.0,RUS,28.139630390100000,80.0,624.0,104871,7.0,,Jeremy Chardy,R,188.0,FRA,24.3312799452,52.0,930.0,3-6 6-4 7-6(7),3,R32,145.0,3.0,3.0,115.0,90.0,60.0,10.0,16.0,6.0,9.0,9.0,4.0,117.0,62.0,40.0,32.0,15.0,9.0,11.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,9,105894,,WC,Javier Marti,R,,ESP,19.4195756331,234.0,210.0,104593,8.0,,Daniel Gimeno Traver,R,185.0,ESP,25.8480492813,56.0,874.0,6-3 7-6(4),3,R32,89.0,0.0,1.0,70.0,49.0,38.0,12.0,11.0,2.0,3.0,8.0,2.0,70.0,40.0,31.0,13.0,10.0,3.0,5.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,10,104559,,,Teymuraz Gabashvili,R,188.0,RUS,26.056125941100000,142.0,405.0,104505,,Q,Konstantin Kravchuk,R,190.0,RUS,26.2997946612,156.0,362.0,6-4 1-6 6-4,3,R32,121.0,1.0,3.0,73.0,48.0,35.0,11.0,13.0,1.0,4.0,9.0,4.0,90.0,56.0,40.0,17.0,14.0,6.0,9.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,11,104890,,,Andreas Haider Maurer,R,190.0,AUT,24.227241615300000,83.0,619.0,104882,,,Blaz Kavcic,R,188.0,SLO,24.273785078700000,72.0,642.0,6-4 6-7(3) 6-4,3,R32,126.0,9.0,4.0,88.0,52.0,48.0,20.0,16.0,0.0,0.0,6.0,7.0,99.0,61.0,47.0,22.0,16.0,4.0,6.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,12,104471,4.0,,Ivan Dodig,R,183.0,CRO,26.4421629021,42.0,1029.0,103812,,,Victor Hanescu,R,198.0,ROU,29.8945927447,62.0,805.0,6-4 7-5,3,R32,98.0,10.0,1.0,85.0,62.0,44.0,13.0,11.0,7.0,7.0,2.0,2.0,66.0,40.0,30.0,14.0,11.0,3.0,5.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,13,103813,5.0,,Jarkko Nieminen,L,185.0,FIN,29.8891170431,50.0,936.0,104216,,,Maximo Gonzalez,R,175.0,ARG,27.898699520900000,76.0,634.0,7-5 6-1,3,R32,70.0,1.0,0.0,55.0,44.0,28.0,8.0,10.0,2.0,4.0,2.0,3.0,58.0,44.0,21.0,5.0,9.0,3.0,8.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,14,103823,,,Denis Gremelmayr,L,183.0,GER,29.823408624200000,110.0,485.0,104106,,Q,Ludovic Walter,U,,FRA,28.4380561259,287.0,165.0,6-3 7-6(5),3,R32,72.0,8.0,1.0,63.0,39.0,34.0,16.0,11.0,2.0,2.0,11.0,2.0,54.0,37.0,33.0,10.0,10.0,0.0,1.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,15,104898,,,Robin Haase,R,190.0,NED,24.186173853500000,58.0,859.0,104999,,,Mischa Zverev,L,190.0,GER,23.808350444900000,103.0,508.0,6-3 6-4,3,R32,67.0,7.0,2.0,57.0,32.0,26.0,14.0,10.0,2.0,3.0,1.0,3.0,64.0,38.0,26.0,12.0,9.0,7.0,10.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,16,104571,2.0,,Marcos Baghdatis,R,183.0,CYP,25.9876796715,31.0,1250.0,103096,,Q,Arnaud Clement,R,173.0,FRA,33.4866529774,138.0,409.0,7-6(4) 6-3,3,R32,95.0,7.0,1.0,73.0,43.0,36.0,12.0,11.0,4.0,6.0,3.0,4.0,67.0,35.0,28.0,13.0,10.0,5.0,8.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,17,105053,,,Santiago Giraldo,R,188.0,COL,23.542778918500000,63.0,790.0,103582,,,Michael Berrer,L,193.0,GER,30.9486652977,75.0,635.0,7-6(6) 6-3,3,R16,103.0,1.0,0.0,79.0,60.0,41.0,11.0,11.0,6.0,8.0,2.0,2.0,72.0,40.0,28.0,15.0,10.0,7.0,10.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,18,104098,,,Dmitry Tursunov,R,185.0,RUS,28.501026694,70.0,684.0,103917,,,Nicolas Mahut,R,190.0,FRA,29.390828199900000,99.0,539.0,7-6(2) 3-6 6-3,3,R16,149.0,11.0,2.0,102.0,59.0,43.0,24.0,15.0,7.0,9.0,12.0,1.0,107.0,63.0,45.0,22.0,15.0,7.0,9.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,19,103598,3.0,,Xavier Malisse,R,185.0,BEL,30.8993839836,41.0,1035.0,104619,,WC,Jesse Huta Galung,R,188.0,NED,25.6837782341,116.0,474.0,7-6(2) 6-4,3,R16,97.0,7.0,1.0,72.0,41.0,33.0,16.0,11.0,7.0,8.0,11.0,5.0,80.0,42.0,32.0,16.0,11.0,5.0,7.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,20,104166,,,Alex Bogomolov Jr,R,178.0,RUS,28.139630390100000,80.0,624.0,103835,,,Filippo Volandri,R,183.0,ITA,29.7686516085,84.0,615.0,7-6(2) 6-2,3,R16,84.0,2.0,2.0,59.0,39.0,29.0,14.0,10.0,3.0,4.0,1.0,8.0,74.0,48.0,32.0,11.0,10.0,7.0,10.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,21,104559,,,Teymuraz Gabashvili,R,188.0,RUS,26.056125941100000,142.0,405.0,105894,,WC,Javier Marti,R,,ESP,19.4195756331,234.0,210.0,7-6(6) 6-3,3,R16,102.0,1.0,1.0,62.0,39.0,29.0,12.0,11.0,0.0,3.0,4.0,3.0,78.0,45.0,26.0,17.0,10.0,6.0,10.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,22,104471,4.0,,Ivan Dodig,R,183.0,CRO,26.4421629021,42.0,1029.0,104890,,,Andreas Haider Maurer,R,190.0,AUT,24.227241615300000,83.0,619.0,6-4 6-3,3,R16,84.0,5.0,2.0,56.0,36.0,26.0,11.0,9.0,2.0,3.0,4.0,3.0,64.0,39.0,24.0,9.0,10.0,2.0,6.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,23,103823,,,Denis Gremelmayr,L,183.0,GER,29.823408624200000,110.0,485.0,103813,5.0,,Jarkko Nieminen,L,185.0,FIN,29.8891170431,50.0,936.0,7-6(3) 2-6 7-6(5),3,R16,140.0,7.0,5.0,129.0,70.0,47.0,28.0,16.0,5.0,11.0,8.0,0.0,107.0,74.0,47.0,18.0,16.0,2.0,6.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,24,104571,2.0,,Marcos Baghdatis,R,183.0,CYP,25.9876796715,31.0,1250.0,104898,,,Robin Haase,R,190.0,NED,24.186173853500000,58.0,859.0,7-5 6-4,3,R16,80.0,5.0,4.0,67.0,38.0,33.0,15.0,11.0,3.0,3.0,10.0,3.0,66.0,43.0,33.0,11.0,11.0,0.0,2.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,25,104098,,,Dmitry Tursunov,R,185.0,RUS,28.501026694,70.0,684.0,105053,,,Santiago Giraldo,R,188.0,COL,23.542778918500000,63.0,790.0,6-3 4-6 6-4,3,QF,118.0,9.0,2.0,91.0,61.0,47.0,13.0,15.0,2.0,5.0,5.0,1.0,86.0,68.0,46.0,8.0,14.0,3.0,7.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,26,103598,3.0,,Xavier Malisse,R,185.0,BEL,30.8993839836,41.0,1035.0,104166,,,Alex Bogomolov Jr,R,178.0,RUS,28.139630390100000,80.0,624.0,6-2 6-4,3,QF,83.0,5.0,3.0,65.0,34.0,28.0,12.0,9.0,10.0,12.0,0.0,3.0,56.0,35.0,18.0,8.0,9.0,1.0,6.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,27,104471,4.0,,Ivan Dodig,R,183.0,CRO,26.4421629021,42.0,1029.0,104559,,,Teymuraz Gabashvili,R,188.0,RUS,26.056125941100000,142.0,405.0,2-6 6-1 6-2,3,QF,118.0,16.0,3.0,79.0,51.0,39.0,12.0,12.0,5.0,7.0,1.0,1.0,87.0,51.0,31.0,18.0,11.0,5.0,9.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,28,104571,2.0,,Marcos Baghdatis,R,183.0,CYP,25.9876796715,31.0,1250.0,103823,,,Denis Gremelmayr,L,183.0,GER,29.823408624200000,110.0,485.0,6-1 6-0,3,QF,47.0,4.0,2.0,35.0,21.0,19.0,7.0,6.0,2.0,2.0,4.0,0.0,45.0,33.0,14.0,2.0,7.0,8.0,14.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,29,104098,,,Dmitry Tursunov,R,185.0,RUS,28.501026694,70.0,684.0,103598,3.0,,Xavier Malisse,R,185.0,BEL,30.8993839836,41.0,1035.0,6-3 7-6(1),3,SF,104.0,2.0,8.0,63.0,37.0,25.0,9.0,10.0,0.0,3.0,5.0,2.0,74.0,41.0,30.0,17.0,11.0,3.0,5.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,30,104471,4.0,,Ivan Dodig,R,183.0,CRO,26.4421629021,42.0,1029.0,104571,2.0,,Marcos Baghdatis,R,183.0,CYP,25.9876796715,31.0,1250.0,7-6(4) 6-1,3,SF,89.0,4.0,2.0,67.0,43.0,30.0,15.0,9.0,2.0,3.0,1.0,4.0,62.0,40.0,26.0,10.0,10.0,0.0,4.0
2011-440,s-Hertogenbosch,Grass,32,A,20110612,31,104098,,,Dmitry Tursunov,R,185.0,RUS,28.501026694,70.0,684.0,104471,4.0,,Ivan Dodig,R,183.0,CRO,26.4421629021,42.0,1029.0,6-3 6-2,3,F,76.0,2.0,3.0,60.0,41.0,31.0,10.0,9.0,3.0,3.0,7.0,1.0,51.0,33.0,20.0,8.0,8.0,4.0,7.0
2011-741,Eastbourne,Grass,32,A,20110612,1,104542,1.0,,Jo Wilfried Tsonga,R,188.0,FRA,26.1546885695,19.0,1585.0,104797,,,Denis Istomin,R,188.0,UZB,24.7638603696,61.0,840.0,6-2 7-5,3,R32,91.0,8.0,0.0,61.0,38.0,28.0,13.0,10.0,5.0,6.0,7.0,3.0,75.0,52.0,36.0,6.0,10.0,14.0,18.0
2011-741,Eastbourne,Grass,32,A,20110612,2,103285,,,Radek Stepanek,R,185.0,CZE,32.5420944559,57.0,873.0,104415,,WC,Colin Fleming,R,188.0,GBR,26.8309377139,722.0,21.0,6-3 6-4,3,R32,85.0,3.0,2.0,63.0,44.0,26.0,12.0,9.0,5.0,7.0,3.0,0.0,65.0,43.0,28.0,6.0,10.0,6.0,11.0
2011-741,Eastbourne,Grass,32,A,20110612,3,105453,,,Kei Nishikori,R,178.0,JPN,21.453798768,59.0,857.0,104975,,Q,Evgeny Kirillov,R,,RUS,23.9151266256,378.0,106.0,7-5 6-1,3,R32,59.0,5.0,1.0,58.0,34.0,25.0,18.0,10.0,4.0,4.0,4.0,0.0,50.0,29.0,19.0,11.0,9.0,2.0,5.0
2011-741,Eastbourne,Grass,32,A,20110612,4,102783,,Q,Rainer Schuettler,R,180.0,GER,35.132101300500000,118.0,469.0,104660,5.0,,Sergiy Stakhovsky,R,193.0,UKR,25.4318959617,35.0,1225.0,6-3 6-2,3,R32,58.0,1.0,0.0,54.0,36.0,29.0,11.0,9.0,1.0,1.0,2.0,0.0,41.0,25.0,18.0,6.0,8.0,3.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,5,104386,3.0,,Janko Tipsarevic,R,180.0,SRB,26.9733059548,30.0,1305.0,104868,,,James Ward,R,190.0,GBR,24.339493497600000,176.0,324.0,6-3 4-6 6-2,3,R32,111.0,4.0,1.0,85.0,49.0,36.0,24.0,14.0,5.0,6.0,10.0,6.0,89.0,57.0,39.0,14.0,13.0,7.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,6,105062,,,Mikhail Kukushkin,R,183.0,KAZ,23.463381245700000,60.0,847.0,104229,,,Yen Hsun Lu,R,180.0,TPE,27.8302532512,54.0,920.0,6-3 6-3,3,R32,74.0,0.0,0.0,45.0,26.0,18.0,11.0,9.0,1.0,3.0,2.0,2.0,69.0,49.0,25.0,8.0,9.0,8.0,13.0
2011-741,Eastbourne,Grass,32,A,20110612,7,105777,,,Grigor Dimitrov,R,188.0,BUL,20.076659822,64.0,781.0,105554,,WC,Daniel Evans,R,175.0,GBR,21.0568104038,305.0,149.0,2-6 7-6(5) 6-4,3,R32,100.0,11.0,6.0,103.0,68.0,53.0,15.0,15.0,6.0,9.0,4.0,6.0,85.0,56.0,44.0,18.0,15.0,2.0,4.0
2011-741,Eastbourne,Grass,32,A,20110612,8,104731,6.0,,Kevin Anderson,R,203.0,RSA,25.070499657800000,38.0,1185.0,104692,,Q,Alexander Slabinsky,R,185.0,GBR,25.2703627652,558.0,47.0,7-5 6-3,3,R32,75.0,16.0,1.0,50.0,34.0,31.0,13.0,11.0,0.0,0.0,7.0,3.0,65.0,37.0,32.0,10.0,10.0,4.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,9,103857,,,Igor Kunitsyn,R,180.0,RUS,29.7002053388,71.0,666.0,104665,7.0,,Pablo Andujar,R,180.0,ESP,25.385352498300000,49.0,960.0,7-5 6-1,3,R32,78.0,3.0,0.0,56.0,43.0,30.0,9.0,10.0,2.0,3.0,0.0,1.0,60.0,33.0,20.0,11.0,9.0,6.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,10,105011,,LL,Illya Marchenko,R,185.0,UKR,23.7618069815,106.0,497.0,104523,,,Frederico Gil,R,178.0,POR,26.2203969884,73.0,641.0,6-1 6-3,3,R32,59.0,6.0,1.0,47.0,30.0,21.0,14.0,8.0,3.0,3.0,1.0,0.0,46.0,30.0,15.0,9.0,8.0,2.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,11,103898,,,Julien Benneteau,R,185.0,FRA,29.478439425100000,77.0,633.0,104976,,,Ryan Sweeting,R,196.0,USA,23.9151266256,67.0,726.0,6-2 7-6(4),3,R32,81.0,4.0,2.0,60.0,41.0,29.0,12.0,10.0,1.0,2.0,4.0,5.0,68.0,38.0,26.0,13.0,10.0,7.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,12,104500,,,Somdev Devvarman,R,180.0,IND,26.3271731691,68.0,724.0,104198,4.0,,Guillermo Garcia Lopez,R,188.0,ESP,28.0246406571,32.0,1250.0,6-3 6-4,3,R32,89.0,7.0,1.0,76.0,43.0,31.0,17.0,10.0,9.0,10.0,3.0,2.0,54.0,29.0,20.0,11.0,9.0,0.0,3.0
2011-741,Eastbourne,Grass,32,A,20110612,13,105385,,Q,Donald Young,L,183.0,USA,21.8891170431,123.0,460.0,105638,,WC,Daniel Cox,R,170.0,GBR,20.7063655031,272.0,176.0,6-1 7-5,3,R32,71.0,6.0,3.0,64.0,48.0,36.0,9.0,10.0,3.0,3.0,3.0,8.0,65.0,40.0,26.0,11.0,9.0,5.0,8.0
2011-741,Eastbourne,Grass,32,A,20110612,14,104312,,,Andreas Seppi,R,190.0,ITA,27.3073237509,51.0,935.0,104735,,,Tobias Kamke,R,180.0,GER,25.0622861054,87.0,603.0,3-6 6-1 6-4,3,R32,85.0,0.0,1.0,72.0,50.0,37.0,15.0,13.0,2.0,3.0,1.0,4.0,69.0,42.0,35.0,10.0,13.0,3.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,15,103694,,,Olivier Rochus,R,168.0,BEL,30.398357289500000,89.0,598.0,103720,,,Lleyton Hewitt,R,180.0,AUS,30.2970568104,130.0,440.0,6-2 3-0 RET,3,R32,48.0,2.0,1.0,26.0,16.0,12.0,8.0,5.0,0.0,0.0,3.0,2.0,45.0,24.0,13.0,7.0,6.0,7.0,11.0
2011-741,Eastbourne,Grass,32,A,20110612,16,104122,,,Carlos Berlocq,R,183.0,ARG,28.3559206023,69.0,717.0,105238,2.0,,Alexandr Dolgopolov,R,180.0,UKR,22.5954825462,21.0,1450.0,7-5 6-2,3,R32,72.0,6.0,1.0,64.0,41.0,29.0,13.0,10.0,2.0,4.0,5.0,2.0,63.0,35.0,23.0,10.0,10.0,5.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,17,103285,,,Radek Stepanek,R,185.0,CZE,32.5420944559,57.0,873.0,104542,1.0,,Jo Wilfried Tsonga,R,188.0,FRA,26.1546885695,19.0,1585.0,6-2 6-3,3,R16,60.0,3.0,1.0,46.0,35.0,28.0,5.0,8.0,0.0,0.0,4.0,0.0,58.0,37.0,20.0,12.0,9.0,2.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,18,105453,,,Kei Nishikori,R,178.0,JPN,21.453798768,59.0,857.0,102783,,Q,Rainer Schuettler,R,180.0,GER,35.132101300500000,118.0,469.0,6-4 4-6 6-2,3,R16,106.0,3.0,2.0,80.0,51.0,35.0,19.0,14.0,0.0,2.0,3.0,3.0,84.0,56.0,35.0,13.0,14.0,5.0,9.0
2011-741,Eastbourne,Grass,32,A,20110612,19,104386,3.0,,Janko Tipsarevic,R,180.0,SRB,26.9733059548,30.0,1305.0,105062,,,Mikhail Kukushkin,R,183.0,KAZ,23.463381245700000,60.0,847.0,6-3 7-6(2),3,R16,107.0,6.0,3.0,62.0,28.0,24.0,25.0,11.0,4.0,4.0,4.0,1.0,78.0,45.0,28.0,20.0,10.0,7.0,8.0
2011-741,Eastbourne,Grass,32,A,20110612,20,105777,,,Grigor Dimitrov,R,188.0,BUL,20.076659822,64.0,781.0,104731,6.0,,Kevin Anderson,R,203.0,RSA,25.070499657800000,38.0,1185.0,6-3 6-2,3,R16,61.0,8.0,5.0,49.0,27.0,23.0,14.0,9.0,0.0,0.0,8.0,1.0,50.0,36.0,21.0,8.0,8.0,4.0,7.0
2011-741,Eastbourne,Grass,32,A,20110612,21,103857,,,Igor Kunitsyn,R,180.0,RUS,29.7002053388,71.0,666.0,105011,,LL,Illya Marchenko,R,185.0,UKR,23.7618069815,106.0,497.0,6-3 1-6 6-2,3,R16,92.0,3.0,2.0,68.0,42.0,29.0,12.0,12.0,6.0,10.0,7.0,4.0,61.0,36.0,26.0,11.0,12.0,0.0,5.0
2011-741,Eastbourne,Grass,32,A,20110612,22,103898,,,Julien Benneteau,R,185.0,FRA,29.478439425100000,77.0,633.0,104500,,,Somdev Devvarman,R,180.0,IND,26.3271731691,68.0,724.0,7-6(1) 6-7(6) 6-3,3,R16,154.0,3.0,2.0,95.0,70.0,49.0,18.0,16.0,5.0,7.0,7.0,2.0,118.0,71.0,49.0,22.0,17.0,6.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,23,104312,,,Andreas Seppi,R,190.0,ITA,27.3073237509,51.0,935.0,105385,,Q,Donald Young,L,183.0,USA,21.8891170431,123.0,460.0,7-6(1) 6-3,3,R16,72.0,8.0,1.0,71.0,49.0,38.0,13.0,11.0,3.0,4.0,4.0,2.0,51.0,42.0,31.0,4.0,10.0,0.0,2.0
2011-741,Eastbourne,Grass,32,A,20110612,24,103694,,,Olivier Rochus,R,168.0,BEL,30.398357289500000,89.0,598.0,104122,,,Carlos Berlocq,R,183.0,ARG,28.3559206023,69.0,717.0,3-6 7-6(5) 7-6(3),3,R16,186.0,1.0,3.0,105.0,77.0,55.0,18.0,16.0,5.0,8.0,27.0,3.0,115.0,76.0,61.0,18.0,17.0,4.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,25,105453,,,Kei Nishikori,R,178.0,JPN,21.453798768,59.0,857.0,103285,,,Radek Stepanek,R,185.0,CZE,32.5420944559,57.0,873.0,6-2 6-3,3,QF,86.0,2.0,4.0,69.0,41.0,26.0,14.0,9.0,9.0,11.0,0.0,4.0,58.0,35.0,19.0,8.0,8.0,5.0,10.0
2011-741,Eastbourne,Grass,32,A,20110612,26,104386,3.0,,Janko Tipsarevic,R,180.0,SRB,26.9733059548,30.0,1305.0,105777,,,Grigor Dimitrov,R,188.0,BUL,20.076659822,64.0,781.0,6-3 7-6(2),3,QF,88.0,3.0,1.0,69.0,44.0,28.0,14.0,10.0,6.0,9.0,4.0,8.0,70.0,41.0,26.0,10.0,11.0,1.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,27,103857,,,Igor Kunitsyn,R,180.0,RUS,29.7002053388,71.0,666.0,103898,,,Julien Benneteau,R,185.0,FRA,29.478439425100000,77.0,633.0,6-3 6-2,3,QF,75.0,4.0,2.0,56.0,34.0,26.0,14.0,9.0,2.0,2.0,2.0,3.0,49.0,25.0,16.0,12.0,8.0,2.0,5.0
2011-741,Eastbourne,Grass,32,A,20110612,28,104312,,,Andreas Seppi,R,190.0,ITA,27.3073237509,51.0,935.0,103694,,,Olivier Rochus,R,168.0,BEL,30.398357289500000,89.0,598.0,6-2 6-7(5) 6-3,3,QF,116.0,10.0,2.0,91.0,53.0,43.0,23.0,15.0,2.0,2.0,2.0,1.0,86.0,51.0,34.0,19.0,14.0,2.0,5.0
2011-741,Eastbourne,Grass,32,A,20110612,29,104386,3.0,,Janko Tipsarevic,R,180.0,SRB,26.9733059548,30.0,1305.0,105453,,,Kei Nishikori,R,178.0,JPN,21.453798768,59.0,857.0,6-2 6-4,3,SF,78.0,3.0,0.0,50.0,31.0,26.0,12.0,9.0,1.0,1.0,4.0,3.0,57.0,39.0,25.0,9.0,9.0,3.0,6.0
2011-741,Eastbourne,Grass,32,A,20110612,30,104312,,,Andreas Seppi,R,190.0,ITA,27.3073237509,51.0,935.0,103857,,,Igor Kunitsyn,R,180.0,RUS,29.7002053388,71.0,666.0,6-4 2-6 6-4,3,SF,126.0,8.0,6.0,96.0,59.0,42.0,15.0,14.0,9.0,13.0,8.0,2.0,98.0,71.0,41.0,15.0,14.0,8.0,12.0
2011-741,Eastbourne,Grass,32,A,20110612,31,104312,,,Andreas Seppi,R,190.0,ITA,27.3073237509,51.0,935.0,104386,3.0,,Janko Tipsarevic,R,180.0,SRB,26.9733059548,30.0,1305.0,7-6(5) 3-6 5-3 RET,3,F,155.0,4.0,1.0,91.0,58.0,43.0,13.0,14.0,2.0,7.0,6.0,3.0,109.0,71.0,44.0,19.0,15.0,5.0,10.0
2011-316,Bastad,Clay,28,A,20110711,1,103675,,Q,Diego Junqueira,L,178.0,ARG,30.5325119781,101.0,513.0,104214,,,Igor Andreev,R,185.0,RUS,27.991786447600000,75.0,665.0,7-6(3) 3-6 6-4,3,R32,141.0,0.0,1.0,90.0,70.0,48.0,10.0,16.0,6.0,10.0,4.0,4.0,95.0,59.0,43.0,17.0,15.0,8.0,11.0
2011-316,Bastad,Clay,28,A,20110711,2,104850,,Q,Jonathan Dasnieres De Veigy,L,,FRA,24.511978097200000,275.0,171.0,103714,,WC,Andreas Vinciguerra,L,180.0,SWE,30.3874058864,727.0,20.0,6-1 1-6 6-3,3,R32,101.0,3.0,7.0,69.0,46.0,34.0,9.0,12.0,2.0,5.0,1.0,2.0,82.0,61.0,39.0,7.0,11.0,6.0,10.0
2011-316,Bastad,Clay,28,A,20110711,3,103808,8.0,,Potito Starace,R,188.0,ITA,29.990417522200000,51.0,940.0,104714,,,Julian Reister,R,188.0,GER,25.273100616,156.0,347.0,7-6(6) 6-3,3,R32,88.0,0.0,0.0,67.0,51.0,34.0,12.0,11.0,2.0,4.0,5.0,4.0,61.0,37.0,24.0,14.0,10.0,4.0,7.0
2011-316,Bastad,Clay,28,A,20110711,4,104559,,,Teymuraz Gabashvili,R,188.0,RUS,26.1327857632,138.0,407.0,103676,,,Michael Yani,R,185.0,USA,30.524298425700000,234.0,215.0,6-3 3-6 6-3,3,R32,129.0,3.0,5.0,93.0,52.0,36.0,24.0,14.0,0.0,1.0,7.0,1.0,90.0,60.0,41.0,14.0,13.0,9.0,11.0
2011-316,Bastad,Clay,28,A,20110711,5,104882,,,Blaz Kavcic,R,188.0,SLO,24.3504449008,79.0,642.0,103898,,,Julien Benneteau,R,185.0,FRA,29.5550992471,106.0,498.0,6-4 4-6 7-5,3,R32,174.0,4.0,2.0,110.0,80.0,47.0,13.0,16.0,8.0,14.0,5.0,4.0,103.0,69.0,45.0,8.0,16.0,3.0,10.0
